purchase_date,Day_name,Month_name,day_of_month,day_classifiction,time_buckets,Number_of_sales,number_of_products,number_of_stores,revenue_per_day,spend_bucket,store_location,product_category,product_detail
2023-01-01,Sun,Jan,1,Weekend,01. Morning,2,1,1,7.5,01. Low Spend,Astoria,Bakery,Jumbo Savory Scone
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,2.5,01. Low Spend,Astoria,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,3,01. Low Spend,Astoria,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,6,01. Low Spend,Astoria,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,2,1,1,11.25,01. Low Spend,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,2.2,01. Low Spend,Hell's Kitchen,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,6,01. Low Spend,Astoria,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,7.5,01. Low Spend,Lower Manhattan,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,5,01. Low Spend,Hell's Kitchen,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,7,01. Low Spend,Astoria,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,4.5,01. Low Spend,Hell's Kitchen,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,3.25,01. Low Spend,Lower Manhattan,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,5,01. Low Spend,Astoria,Tea,Traditional Blend Chai Rg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,4.4,01. Low Spend,Astoria,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,3,01. Low Spend,Astoria,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,5,01. Low Spend,Hell's Kitchen,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,6,01. Low Spend,Astoria,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,7.5,01. Low Spend,Astoria,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,6,01. Low Spend,Astoria,Coffee,Espresso shot
2023-01-01,Sun,Jan,1,Weekend,01. Morning,1,1,1,2.5,01. Low Spend,Astoria,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,2.5,01. Low Spend,Lower Manhattan,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,15,01. Low Spend,Astoria,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,5,1,1,24.8,01. Low Spend,Astoria,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7,01. Low Spend,Astoria,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7.5,01. Low Spend,Hell's Kitchen,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3,01. Low Spend,Hell's Kitchen,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,15,01. Low Spend,Astoria,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,10.5,01. Low Spend,Hell's Kitchen,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,15,01. Low Spend,Astoria,Tea,Traditional Blend Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,5,01. Low Spend,Lower Manhattan,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,12,01. Low Spend,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,12,01. Low Spend,Lower Manhattan,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,15.5,01. Low Spend,Hell's Kitchen,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,14,01. Low Spend,Astoria,Coffee,Columbian Medium Roast Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,15,01. Low Spend,Hell's Kitchen,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,15,01. Low Spend,Lower Manhattan,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,6,1,1,26.4,01. Low Spend,Lower Manhattan,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,7.5,01. Low Spend,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6,01. Low Spend,Astoria,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,17,01. Low Spend,Lower Manhattan,Coffee,Cappuccino Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,11.25,01. Low Spend,Hell's Kitchen,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,20,01. Low Spend,Astoria,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,12.5,01. Low Spend,Astoria,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,8.8,01. Low Spend,Lower Manhattan,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,15,01. Low Spend,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,21,01. Low Spend,Hell's Kitchen,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6,01. Low Spend,Astoria,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,5.1,01. Low Spend,Astoria,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,5,1,1,17.5,01. Low Spend,Astoria,Coffee,Our Old Time Diner Blend Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7,01. Low Spend,Astoria,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,22.5,01. Low Spend,Astoria,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,21,01. Low Spend,Hell's Kitchen,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,4.5,01. Low Spend,Astoria,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,9,01. Low Spend,Astoria,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,12,01. Low Spend,Hell's Kitchen,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,14.25,01. Low Spend,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,9.75,01. Low Spend,Lower Manhattan,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,5.1,01. Low Spend,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,10.5,01. Low Spend,Lower Manhattan,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,15,01. Low Spend,Hell's Kitchen,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3,01. Low Spend,Hell's Kitchen,Coffee,Espresso shot
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,15.5,01. Low Spend,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,9,01. Low Spend,Hell's Kitchen,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,12,01. Low Spend,Hell's Kitchen,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,9.5,01. Low Spend,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6,01. Low Spend,Astoria,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,12,01. Low Spend,Lower Manhattan,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,4.5,01. Low Spend,Hell's Kitchen,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,5,1,1,21,01. Low Spend,Astoria,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,4.4,01. Low Spend,Hell's Kitchen,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3.25,01. Low Spend,Hell's Kitchen,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,10,01. Low Spend,Hell's Kitchen,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,10,01. Low Spend,Hell's Kitchen,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,6,01. Low Spend,Astoria,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,6,1,1,31.5,01. Low Spend,Astoria,Drinking Chocolate,Dark chocolate Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,12,01. Low Spend,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,11.25,01. Low Spend,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,2.55,01. Low Spend,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,12,01. Low Spend,Astoria,Tea,Morning Sunrise Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,8,01. Low Spend,Hell's Kitchen,Tea,Morning Sunrise Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7,01. Low Spend,Hell's Kitchen,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,4.4,01. Low Spend,Hell's Kitchen,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,10,01. Low Spend,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,15,01. Low Spend,Astoria,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6,01. Low Spend,Lower Manhattan,Coffee,Ouro Brasileiro shot
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,11.25,01. Low Spend,Hell's Kitchen,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3,01. Low Spend,Lower Manhattan,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,5,1,1,25,01. Low Spend,Astoria,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3.75,01. Low Spend,Lower Manhattan,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,2.5,01. Low Spend,Lower Manhattan,Tea,Traditional Blend Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6.5,01. Low Spend,Astoria,Bakery,Hazelnut Biscotti
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6.2,01. Low Spend,Astoria,Tea,Spicy Eye Opener Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,8,01. Low Spend,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6,01. Low Spend,Lower Manhattan,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,6,01. Low Spend,Hell's Kitchen,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3.5,01. Low Spend,Hell's Kitchen,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,7.5,01. Low Spend,Lower Manhattan,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,4,1,1,12.5,01. Low Spend,Hell's Kitchen,Tea,English Breakfast Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,7,01. Low Spend,Lower Manhattan,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7.5,01. Low Spend,Lower Manhattan,Bakery,Chocolate Croissant
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,4.9,01. Low Spend,Lower Manhattan,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,25.5,01. Low Spend,Lower Manhattan,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,6.5,01. Low Spend,Lower Manhattan,Bakery,Hazelnut Biscotti
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,25.5,01. Low Spend,Astoria,Coffee,Cappuccino Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7.5,01. Low Spend,Hell's Kitchen,Bakery,Chocolate Croissant
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3.75,01. Low Spend,Astoria,Bakery,Jumbo Savory Scone
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,9.5,01. Low Spend,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,6,01. Low Spend,Lower Manhattan,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,6,01. Low Spend,Lower Manhattan,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,4.5,01. Low Spend,Lower Manhattan,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,8.5,01. Low Spend,Hell's Kitchen,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,6,01. Low Spend,Astoria,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,10,01. Low Spend,Lower Manhattan,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,4.9,01. Low Spend,Hell's Kitchen,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,5,01. Low Spend,Astoria,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,6,01. Low Spend,Hell's Kitchen,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,14.700000000000001,01. Low Spend,Astoria,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,17,01. Low Spend,Astoria,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,3,1,1,18.75,01. Low Spend,Lower Manhattan,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,6,01. Low Spend,Astoria,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,7.5,01. Low Spend,Lower Manhattan,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,1,1,1,3.25,01. Low Spend,Astoria,Bakery,Cranberry Scone
2023-01-01,Sun,Jan,1,Weekend,02. Afternoon,2,1,1,8.8,01. Low Spend,Astoria,Coffee,Ethiopia Sm
